OTU	Size_Toad	Taxonomy_Toad	Dataset_Toad	Size_RM	Taxonomy_RM	Dataset_RM
Otu00042	1194	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(95);Rhizobiales(95);Rhizobiaceae(76);Rhizobium(76);	Toad	1003	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);Curtobacterium(75);	RM
Otu00043	1185	Bacteria(100);Bacteroidetes(100);Flavobacteria(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(100);	Toad	983	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioidaceae_unclassified(99);	RM
Otu00044	1171	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(95);	Toad	979	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Paracoccus(72);	RM
Otu00045	1102	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioides(97);	Toad	971	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Xanthomonadaceae_unclassified(98);	RM
Otu00046	1098	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(78);	Toad	958	Bacteria(100);Bacteroidetes(100);Sphingobacteria(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);	RM
Otu00047	1080	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);	Toad	951	Bacteria(100);Firmicutes(97);Firmicutes_unclassified(83);Firmicutes_unclassified(83);Firmicutes_unclassified(83);Firmicutes_unclassified(83);	RM
Otu00048	1022	Bacteria(100);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);	Toad	944	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(55);Clostridiales_unclassified(55);	RM
Otu00049	1017	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Marmoricola(97);	Toad	941	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(100);	RM
Otu00050	1005	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(81);Rhizobiales_unclassified(81);	Toad	922	Bacteria(100);Bacteroidetes(100);Sphingobacteria(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);	RM
Otu00051	972	Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Myxococcales(100);Polyangiaceae(100);Byssovorax(100);	Toad	892	Bacteria(100);Bacteroidetes(100);Flavobacteria(100);Flavobacteriales(100);Flavobacteriaceae(100);Chryseobacterium(100);	RM
Otu00052	927	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(100);	Toad	870	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioides(73);	RM
Otu00053	927	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);	Toad	870	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(99);Comamonas(99);	RM
Otu00054	908	Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Myxococcales(100);Cystobacteraceae(100);Cystobacter(100);	Toad	865	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	RM
Otu00055	853	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Pseudonocardiaceae(100);Actinomycetospora(69);	Toad	819	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(92);	RM
Otu00056	819	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetales_unclassified(100);Actinomycetales_unclassified(100);	Toad	807	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	RM
Otu00057	819	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(96);Nocardioidaceae_unclassified(93);	Toad	793	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	RM
Otu00058	797	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(95);	Toad	773	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Marmoricola(100);	RM
Otu00059	778	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonas(99);	Toad	768	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(85);Rhizobiales_unclassified(85);	RM
Otu00060	751	Bacteria(100);Bacteria_unclassified(52);Bacteria_unclassified(52);Bacteria_unclassified(52);Bacteria_unclassified(52);Bacteria_unclassified(52);	Toad	760	Bacteria(100);Bacteroidetes(70);Bacteroidetes_unclassified(62);Bacteroidetes_unclassified(62);Bacteroidetes_unclassified(62);Bacteroidetes_unclassified(62);	RM
Otu00061	750	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XII(100);Exiguobacterium(100);	Toad	752	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Cellvibrio(100);	RM
Otu00062	742	Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Myxococcales(100);Cystobacteraceae(100);Cystobacter(100);	Toad	747	Bacteria(100);Fusobacteria(100);Fusobacteria(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);	RM
Otu00063	738	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Aurantimonadaceae(96);Aurantimonas(96);	Toad	739	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Coprobacillus(75);	RM
Otu00064	734	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(100);	Toad	734	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(97);Enterococcus(83);	RM
Otu00065	725	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingopyxis(100);	Toad	692	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	RM
Otu00066	723	Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(64);Proteobacteria_unclassified(64);Proteobacteria_unclassified(64);Proteobacteria_unclassified(64);	Toad	683	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	RM
Otu00067	712	Bacteria(100);Bacteroidetes(76);Bacteroidetes_unclassified(69);Bacteroidetes_unclassified(69);Bacteroidetes_unclassified(69);Bacteroidetes_unclassified(69);	Toad	656	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Aurantimonadaceae(96);Aurantimonas(95);	RM
Otu00068	692	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(100);	Toad	627	Bacteria(100);Bacteroidetes(100);Flavobacteria(100);Flavobacteriales(100);Flavobacteriaceae(100);Chryseobacterium(100);	RM
Otu00069	688	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Hyphomicrobiaceae(100);Devosia(100);	Toad	602	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonadaceae_unclassified(83);	RM
Otu00070	672	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(89);Sphingomonadaceae(89);Sphingomonas(75);	Toad	598	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_incertae_sedis(100);	RM
Otu00071	667	Bacteria(100);Bacteroidetes(100);Sphingobacteria(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);	Toad	563	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(97);	RM
Otu00072	665	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Cyanobacteria_order_incertae_sedis_unclassified(100);Cyanobacteria_order_incertae_sedis_unclassified(100);	Toad	558	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	RM
Otu00073	633	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioidaceae_unclassified(100);	Toad	556	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(64);	RM
Otu00074	631	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(91);	Toad	551	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	RM
Otu00075	613	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(100);Rhizobiales_unclassified(100);	Toad	542	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(99);	RM
Otu00076	603	Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(89);Bacteroidetes_unclassified(89);Bacteroidetes_unclassified(89);Bacteroidetes_unclassified(89);	Toad	516	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Paracoccus(98);	RM
Otu00077	592	Bacteria(100);Firmicutes(97);Erysipelotrichia(67);Erysipelotrichales(67);Erysipelotrichaceae(67);Erysipelotrichaceae_unclassified(67);	Toad	511	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(99);Bacillales_unclassified(99);	RM
Otu00078	589	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardiaceae(100);Rhodococcus(100);	Toad	510	Bacteria(100);Bacteroidetes(100);Sphingobacteria(62);Sphingobacteriales(62);Sphingobacteriales_unclassified(62);Sphingobacteriales_unclassified(62);	RM
Otu00079	585	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Mycobacteriaceae(98);Mycobacterium(97);	Toad	496	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	RM
Otu00080	582	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Achromobacter(85);	Toad	493	Bacteria(100);Bacteria_unclassified(97);Bacteria_unclassified(97);Bacteria_unclassified(97);Bacteria_unclassified(97);Bacteria_unclassified(97);	RM
Otu00081	566	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(79);Bacillales_unclassified(79);	Toad	487	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);	RM
Otu00082	540	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(84);Planococcaceae_unclassified(63);	Toad	485	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);	RM
Otu00083	538	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(81);	Toad	482	Bacteria(100);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);Bacteria_unclassified(65);	RM
